chunk_size,role_description,task_description,chain_of_thought,precision,recall,f1
2k,data modeller,basic+hierarchy,zero-shot,0.6875,0.6863019776876268,0.6868892823906525
4k,machine,basic+hierarchy,zero-shot,0.9374446576151122,0.8614037548219354,0.8970801191486811
1k,null,basic+hierarchy+enums,zero-shot,0.015625,0.015025988843813388,0.015319641195326233
1k,null,basic+hierarchy,null,0.0,0.0,0.0
2k,machine,chain-of-thought,one-shot,0.0,0.0,0.0
1k,machine,basic+hierarchy,zero-shot,0.22425011671335202,0.2213826929130238,0.22272672176579078
4k,null,chain-of-thought,one-shot,0.0,0.0,0.0
1k,null,basic+hierarchy+enums,null,0.0,0.0,0.0
3k,machine,basic+hierarchy+enums,null,0.8346290283790284,0.8331421572859811,0.8338675790542441
1k,null,basic,zero-shot,0.046875,0.045676977687626776,0.046264282390652466
2k,null,basic+hierarchy,null,0.7498922413793103,0.6729468599033817,0.7093389109213858
3k,null,basic+hierarchy,null,0.45340401785714285,0.41415566254036057,0.4324900252223569
1k,data modeller,basic+hierarchy+enums,null,0.8125,0.8049666213884771,0.8075368545807189
3k,data modeller,basic,zero-shot,0.9354010695187166,0.8530048123167006,0.8915106190003066
4k,data modeller,basic+hierarchy+enums,null,0.75,0.75,0.75
2k,machine,basic,null,0.6295939256668435,0.5612112742270481,0.5927990759709807
3k,data modeller,basic+hierarchy,zero-shot,0.7727272727272727,0.7709846948183663,0.7718389562045854
2k,machine,basic+hierarchy+enums,zero-shot,0.9476215361552671,0.9491957322088707,0.9483946413895271
4k,data modeller,basic+hierarchy,zero-shot,0.8709385888501742,0.7827086252625322,0.8243784995403302
2k,machine,basic+hierarchy+enums,zero-shot,0.9496763774528763,0.9220575410432941,0.9355734189069108
1k,data modeller,basic,zero-shot,0.4934191176470588,0.4811225226701542,0.48659692549951616
1k,data modeller,basic+hierarchy,zero-shot,0.9216512044270834,0.8239302562005354,0.8699963547558266
3k,machine,chain-of-thought,one-shot,0.045454545454545456,0.045454545454545456,0.045454545454545456
3k,data modeller,basic,zero-shot,0.9250120250120251,0.8303820717370093,0.8750473766979013
1k,null,basic+hierarchy+enums,zero-shot,0.9060737781954887,0.8988335648607477,0.9019985360673517
4k,null,basic,zero-shot,0.8283267373666108,0.7422840016825791,0.7828968659417612
4k,data modeller,basic+hierarchy,zero-shot,0.375,0.375,0.375
1k,null,basic+hierarchy,zero-shot,0.015625,0.015025988843813388,0.015319641195326233
2k,data modeller,chain-of-thought,one-shot,0.0,0.0,0.0
1k,machine,basic,null,0.8532531438767968,0.7371317230852388,0.7903585126986488
4k,null,basic+hierarchy,zero-shot,0.8125,0.7290257648953301,0.7685028008827024
4k,null,basic+hierarchy+enums,zero-shot,0.6801178620571036,0.6672700884598497,0.672846512684667
4k,data modeller,basic,zero-shot,0.9375,0.8509576094305789,0.8912847629675195
1k,machine,basic,null,0.7250706601795535,0.6589399721664133,0.689996702523519
2k,data modeller,basic+hierarchy,zero-shot,0.9049910246887379,0.8167088797496107,0.8569634488072212
3k,machine,basic+hierarchy,null,0.9090700200534759,0.8139505856103441,0.8588657550224035
4k,data modeller,basic,zero-shot,0.7743217657433343,0.7064200118926617,0.7384104165709435
4k,data modeller,basic+hierarchy+enums,zero-shot,0.6875,0.6731237322515213,0.6801713886878296
1k,machine,basic+hierarchy+enums,null,0.8120543084221269,0.7844131063029569,0.7976785147493589
2k,machine,basic+hierarchy,null,0.761317791005291,0.6699147028800768,0.712252289664478
3k,null,basic+hierarchy,zero-shot,0.7272448752228164,0.6525545308154004,0.6878781562867989
2k,null,basic,null,0.09375,0.09375,0.09375
2k,machine,basic+hierarchy,zero-shot,0.8125,0.7207345367349006,0.7633051278286593
4k,null,basic+hierarchy+enums,zero-shot,0.0,0.0,0.0
1k,machine,basic+hierarchy,zero-shot,0.9360167625323076,0.8284952211977579,0.8781691863357438
4k,null,basic+hierarchy+enums,null,0.8693254494547598,0.8621578099838969,0.86561916047811
2k,machine,basic+hierarchy,null,0.0,0.0,0.0
4k,data modeller,basic+hierarchy,null,0.8125,0.8125,0.8125
1k,null,basic+hierarchy,zero-shot,0.8395381607031495,0.7541308846285758,0.7943777056680007
1k,machine,basic+hierarchy,null,0.6892007525789512,0.5958313334502986,0.6388376029406582
4k,data modeller,basic,null,0.9375,0.8397444251730345,0.8853201907206243
3k,machine,basic,null,0.6040279290413898,0.5415854882235095,0.5711012888685741
4k,null,basic+hierarchy,null,0.4375,0.40386044722736675,0.4196062832593146
3k,null,basic,null,0.4548624623163862,0.3981352423689962,0.4240081197467396
2k,machine,basic+hierarchy,zero-shot,0.59375,0.589341430183601,0.5913784314859
1k,machine,basic+hierarchy,null,0.8635156870119565,0.776198295382067,0.8174201833640723
3k,machine,basic+hierarchy+enums,zero-shot,0.7682565402160652,0.7392620652367985,0.7533591395478294
4k,data modeller,basic+hierarchy,null,0.875,0.7851046698872787,0.8276184009506026
1k,null,basic+hierarchy,null,0.7717458173956258,0.69299634577009,0.7301924863851219
4k,data modeller,basic,null,0.8749751589825119,0.7851046698872787,0.8276072868443463
1k,data modeller,basic+hierarchy,null,0.9214689159025097,0.8271821387650192,0.871782277909351
3k,null,basic+hierarchy,zero-shot,0.045454545454545456,0.045454545454545456,0.045454545454545456
1k,null,basic+hierarchy+enums,zero-shot,0.578125,0.5591484027185754,0.5683891692120845
1k,null,basic+hierarchy,zero-shot,0.5828610702936088,0.523875712829981,0.5512939648442357
3k,null,basic+hierarchy,null,0.045454545454545456,0.045454545454545456,0.045454545454545456
1k,machine,basic+hierarchy+enums,null,0.8502308670890127,0.8460528745038719,0.8478461382106778
2k,data modeller,basic+hierarchy+enums,zero-shot,0.71875,0.7139579107505071,0.7163071295626099
2k,machine,basic,null,0.15625,0.15505197768762677,0.15563928239065247
4k,null,basic+hierarchy+enums,null,0.5625,0.5433316430020284,0.5527285182504394
1k,null,basic,zero-shot,0.792460948635935,0.7147096004045833,0.7513898527856052
4k,null,basic+hierarchy,zero-shot,0.0,0.0,0.0
2k,data modeller,basic,null,0.6875,0.6863019776876268,0.6868892823906525
3k,data modeller,basic,null,0.9205158104337525,0.8241145640912336,0.8689682855669996
3k,null,chain-of-thought,one-shot,0.045454545454545456,0.045454545454545456,0.045454545454545456
4k,null,basic,null,0.75,0.6851169390794799,0.7155713036147294
2k,data modeller,basic,zero-shot,0.6136383433639532,0.5740917254549105,0.5911797572887362
4k,null,basic,null,0.7384204289580261,0.6590325657374394,0.6964042688584552
3k,machine,basic+hierarchy,zero-shot,0.8349206349206348,0.7488127553850842,0.7894725015976423
1k,null,basic+hierarchy+enums,null,0.841667419738913,0.8420765427471812,0.8418524857830739
3k,data modeller,basic+hierarchy,null,0.8181818181818182,0.8164392402729117,0.817293501659131
2k,machine,basic,zero-shot,0.6875,0.6710599688921879,0.678148999597329
1k,null,basic,null,0.7949967248156855,0.717263089335933,0.7539890928983239
3k,data modeller,basic+hierarchy+enums,zero-shot,0.8629351364888556,0.8496957403651115,0.8561764924008042
4k,machine,basic+hierarchy+enums,null,0.8122424864441189,0.8125,0.8123710740889193
2k,null,basic+hierarchy,zero-shot,0.03125,0.03125,0.03125
2k,machine,basic+hierarchy+enums,null,0.8035467754725947,0.7916258335339534,0.7966886569005508
2k,data modeller,basic,zero-shot,0.90625,0.8004443244064243,0.8496069594164096
4k,null,basic+hierarchy,null,0.0,0.0,0.0
3k,machine,basic+hierarchy,zero-shot,0.9090909090909091,0.8187585500179204,0.8606934383699048
2k,machine,basic+hierarchy+enums,zero-shot,0.4783967391304348,0.4740074849701401,0.4760638776832219
3k,null,basic,zero-shot,0.7260584569095208,0.6490693749975874,0.685387084221889
4k,machine,basic+hierarchy+enums,zero-shot,0.625,0.6105724940838404,0.617122142211716
2k,machine,basic+hierarchy,zero-shot,0.761307615995116,0.6782277759697575,0.7169787317616715
1k,data modeller,basic+hierarchy,zero-shot,0.390625,0.38481383861276064,0.38730824663638797
3k,null,basic+hierarchy+enums,zero-shot,0.0,0.0,0.0
4k,data modeller,basic+hierarchy+enums,zero-shot,0.625,0.6226039553752536,0.6237785647813049
4k,data modeller,basic,null,0.9375,0.9375,0.9375
3k,null,basic+hierarchy+enums,zero-shot,0.3796697130030463,0.36725210439011957,0.37334095885305574
3k,data modeller,basic+hierarchy+enums,null,0.9545454545454546,0.9266642080029505,0.9403323901824574
4k,data modeller,chain-of-thought,one-shot,0.0,0.0,0.0
3k,null,basic+hierarchy,null,0.705489927103563,0.6374414713060397,0.6696385191958055
1k,data modeller,basic+hierarchy+enums,zero-shot,0.9212845203488372,0.9070081623301911,0.9133919145433737
4k,data modeller,basic+hierarchy,zero-shot,0.875,0.8213301233370244,0.8465358758616246
2k,data modeller,basic,null,0.8786766986488082,0.7684637563765361,0.8194799003935199
2k,data modeller,basic+hierarchy+enums,null,0.65625,0.65625,0.65625
2k,null,basic+hierarchy+enums,null,0.0625,0.0625,0.0625
2k,null,basic+hierarchy,zero-shot,0.873448492699886,0.7839066475749054,0.8262273338805637
1k,data modeller,basic+hierarchy,zero-shot,0.9197321120438118,0.8380779228068503,0.8746455710707364
3k,null,basic,zero-shot,0.6045454545454546,0.5296031946418084,0.5643365842533096
1k,data modeller,basic,null,0.359375,0.35757796653144014,0.3584589235859787
1k,data modeller,basic+hierarchy,null,0.46875,0.4681509888438134,0.46844464119532625
3k,machine,basic,zero-shot,0.8680022682473663,0.7896719858542691,0.82617761273161
2k,null,basic+hierarchy+enums,null,0.718677629567092,0.7009405304556098,0.7081497670984956
3k,null,basic,null,0.09090909090909091,0.0891665130001844,0.09002077438640359
4k,data modeller,basic+hierarchy+enums,null,0.9375,0.9190474437005354,0.9266758569829419
1k,null,basic+hierarchy+enums,null,0.6761322536940048,0.6522787982388145,0.6639140052407897
1k,data modeller,chain-of-thought,one-shot,0.15625,0.15625,0.15625
3k,data modeller,basic+hierarchy,zero-shot,0.9993868677358695,0.8972624798711756,0.9455735663162915
4k,null,basic,zero-shot,0.0,0.0,0.0
3k,machine,basic+hierarchy+enums,null,0.0,0.0,0.0
2k,machine,basic,zero-shot,0.8783892463235294,0.7571801438087218,0.8124111427092384
2k,data modeller,basic+hierarchy+enums,null,0.9375,0.9099454868154159,0.9234534949850067
2k,machine,basic,null,0.8241181657848324,0.7133957925677048,0.7646378599350386
1k,null,chain-of-thought,one-shot,0.15625,0.15625,0.15625
3k,data modeller,basic,null,0.7272727272727273,0.7255301493638208,0.7263844107500399
4k,null,basic+hierarchy+enums,zero-shot,0.1875,0.18031186612576067,0.18383569434391478
2k,null,basic+hierarchy+enums,zero-shot,0.36017084767084767,0.3482788640286029,0.35410767309428515
1k,null,chain-of-thought,one-shot,0.15625,0.15625,0.15625
3k,data modeller,basic,null,0.7272727272727273,0.7255301493638208,0.7263844107500399
4k,null,basic+hierarchy+enums,zero-shot,0.1875,0.18031186612576067,0.18383569434391478
2k,null,basic+hierarchy+enums,zero-shot,0.36017084767084767,0.3482788640286029,0.35410767309428515
1k,machine,basic+hierarchy+enums,zero-shot,0.8893640084059848,0.8680187170098597,0.8764313049507346
1k,machine,basic+hierarchy,zero-shot,0.9442747854320827,0.8433017308972944,0.8905803770765809
3k,machine,basic+hierarchy+enums,zero-shot,0.6818181818181818,0.6783330260003688,0.6800415487728072
4k,machine,basic+hierarchy+enums,zero-shot,0.9375,0.9135395537525355,0.9252856478130493
3k,null,basic+hierarchy+enums,null,0.7523335668947642,0.7506277338707548,0.7514557534200095
2k,data modeller,basic+hierarchy+enums,zero-shot,0.84375,0.8197895537525355,0.8315356478130493
4k,machine,basic,null,0.1875,0.1875,0.1875
2k,machine,basic+hierarchy+enums,null,0.7387937109072199,0.719370706538336,0.7288714420124702
1k,data modeller,basic,zero-shot,0.9011255337050005,0.791134649932628,0.8419075533148989
4k,data modeller,basic+hierarchy,null,1.0,0.8825570561182995,0.9336522755664094
2k,data modeller,basic+hierarchy,null,0.8741046060642503,0.7851046698872787,0.8272117356641971
4k,machine,basic+hierarchy+enums,null,0.0625,0.0625,0.0625
3k,null,basic+hierarchy,zero-shot,0.22727272727272727,0.20629275380135245,0.216035748143058
3k,data modeller,basic,zero-shot,0.6818181818181818,0.6549780999280514,0.6660739737933701
3k,data modeller,basic,null,0.8181818181818182,0.7341238471673255,0.7738769463434206
4k,machine,chain-of-thought,one-shot,0.0,0.0,0.0
4k,machine,basic,zero-shot,0.6875,0.6875,0.6875
2k,null,basic+hierarchy,null,0.0625,0.061301977687626776,0.061889282390652466
3k,machine,basic,null,0.13636363636363635,0.13636363636363635,0.13636363636363635
2k,null,basic,zero-shot,0.0625,0.0625,0.0625
1k,data modeller,basic+hierarchy+enums,zero-shot,0.859375,0.8310059839361366,0.8447890792989493
3k,null,basic+hierarchy+enums,null,0.5835068666965219,0.5572536688352276,0.5696308709643705
2k,null,basic+hierarchy,null,0.6554266686182669,0.5823837946408554,0.6162600240120829
1k,data modeller,basic+hierarchy,null,0.9678323412698413,0.8695571791310228,0.9152096286002818
4k,null,basic,null,0.0625,0.0625,0.0625
2k,machine,basic,zero-shot,0.75,0.6717488375910085,0.708707832266752
1k,data modeller,basic+hierarchy+enums,null,0.9264564558150966,0.8995841097456052,0.912678348635766
2k,data modeller,basic,zero-shot,0.8790333677330582,0.789346576857463,0.8317005444282024
1k,null,basic+hierarchy,null,0.6868297356423829,0.6091520059006444,0.6452345907068208
3k,machine,basic+hierarchy,zero-shot,0.5,0.48717506962502116,0.49310089159534537
3k,machine,basic,zero-shot,0.6363636363636364,0.629951171176147,0.6329140821613091
2k,null,basic,zero-shot,0.655457059206246,0.5624463924594076,0.6051014009904074
1k,null,basic,zero-shot,0.6188720211964346,0.5352672138459077,0.5731969390097011
3k,machine,basic+hierarchy,null,0.0,0.0,0.0
1k,null,basic,null,0.005511463844797178,0.005435988977409903,0.005473466238454266
4k,machine,basic+hierarchy,null,0.8357363315696649,0.7573680424875416,0.7939382012397425
4k,machine,basic+hierarchy,zero-shot,0.8744612068965517,0.7803125806377857,0.8246588160348762
4k,machine,basic+hierarchy+enums,zero-shot,0.8125,0.8125,0.8125
2k,null,basic,zero-shot,0.7947918855042017,0.7076391324062525,0.7479256792299075
3k,null,basic+hierarchy+enums,zero-shot,0.9084191670398567,0.9090909090909091,0.9087525377847959
3k,null,basic+hierarchy+enums,null,0.0,0.0,0.0
2k,null,basic+hierarchy,zero-shot,0.1875,0.17187824592605658,0.17916385923900485
1k,machine,basic,zero-shot,0.5,0.4504791422194853,0.47079458867384105
3k,null,basic,zero-shot,0.09090909090909091,0.09090909090909091,0.09090909090909091
1k,data modeller,basic+hierarchy+enums,zero-shot,0.4733440170940171,0.45644668060162635,0.4634564571554515
3k,data modeller,basic+hierarchy+enums,zero-shot,0.6818181818181818,0.6666555629642101,0.6730577612830886
3k,machine,basic+hierarchy,null,0.8964858427267847,0.7918783303924891,0.8403862474669193
3k,data modeller,basic+hierarchy,null,0.9791890769163497,0.895823509796849,0.9349061907013779
2k,null,basic+hierarchy+enums,null,0.8125,0.7861435091277891,0.7990642125943542
2k,machine,basic+hierarchy,null,0.761317791005291,0.6699147028800768,0.712252289664478
1k,data modeller,basic,null,0.9363030018767737,0.8222674428094058,0.875059901354552
2k,null,chain-of-thought,one-shot,0.0,0.0,0.0
1k,machine,basic+hierarchy+enums,null,0.015625,0.015625,0.015625
3k,machine,basic+hierarchy+enums,zero-shot,0.863095238095238,0.8542965890791977,0.8584414171918504
4k,machine,basic+hierarchy+enums,null,0.7498366724738676,0.7260395537525355,0.7377070400464703
1k,data modeller,basic,null,0.8849280866312216,0.7917962370536056,0.8355649002846894
2k,data modeller,basic+hierarchy+enums,zero-shot,0.9530739379084967,0.9530416685768927,0.9530344837880024
1k,machine,basic+hierarchy+enums,zero-shot,0.9102968971467054,0.899665587629563,0.9044973760832864
1k,machine,basic,zero-shot,0.8204492510277165,0.7338950423279244,0.7746384575979284
3k,machine,basic,zero-shot,0.57451795386578,0.5137471603563992,0.5423145500897089
3k,data modeller,chain-of-thought,one-shot,0.045454545454545456,0.045454545454545456,0.045454545454545456
1k,machine,basic+hierarchy,null,0.0,0.0,0.0
2k,null,basic,null,0.6249180050942299,0.5575544951845813,0.5880707935949006
2k,data modeller,basic+hierarchy,zero-shot,0.9671003077520934,0.8680250050628281,0.9148604084293083
1k,machine,basic+hierarchy+enums,zero-shot,0.2548233695652174,0.25202973132888346,0.2533515800369372
1k,machine,basic,null,0.03125,0.03125,0.03125
1k,machine,basic,zero-shot,0.8030530390633135,0.707649114177354,0.7502911138904818
4k,machine,basic,zero-shot,0.923316798941799,0.8425047851095673,0.8798672011206887
2k,data modeller,basic,null,0.875,0.7851046698872787,0.8276184009506026
3k,machine,basic,null,0.7382415765588669,0.6486416057926042,0.6902723207292799
4k,machine,basic,zero-shot,0.5625,0.5047101449275363,0.5320404006111017
4k,machine,basic+hierarchy,null,0.0,0.0,0.0
3k,data modeller,basic+hierarchy+enums,zero-shot,0.6818068915684414,0.6800756039092754,0.6809242194694537
4k,machine,basic,null,0.75,0.6729468599033817,0.7093872008148022
4k,null,basic+hierarchy,zero-shot,0.125,0.12260395537525355,0.12377856478130493
3k,null,basic,null,0.8137526136793,0.7307439081482627,0.7700152420622808
4k,data modeller,basic+hierarchy+enums,null,1.0,0.9736435091277891,0.9865642125943542
2k,data modeller,basic+hierarchy,null,0.59375,0.5925519776876268,0.5931392823906525
4k,machine,basic+hierarchy,zero-shot,0.5625,0.5625,0.5625
1k,machine,chain-of-thought,one-shot,0.15625,0.15625,0.15625
4k,machine,basic+hierarchy,null,0.6874243341404358,0.6168679549114332,0.6502377326059477
4k,null,basic+hierarchy+enums,null,0.0,0.0,0.0
1k,data modeller,basic,zero-shot,0.9417245876025034,0.8475178502055287,0.8918106917224639
4k,data modeller,basic,zero-shot,0.625,0.600594245168764,0.6098365115281376
3k,data modeller,basic+hierarchy+enums,null,0.6818181818181818,0.6818181818181818,0.6818181818181818
3k,data modeller,basic+hierarchy+enums,null,0.7726995311676422,0.7709846948183663,0.7718250811907104
3k,data modeller,basic+hierarchy,zero-shot,0.8181818181818182,0.7692515596034425,0.7923543056534107
2k,machine,basic+hierarchy+enums,null,0.0,0.0,0.0
2k,null,basic+hierarchy+enums,zero-shot,0.03125,0.03125,0.03125
1k,data modeller,basic+hierarchy+enums,null,0.53125,0.5306509888438133,0.5309446411953263
3k,data modeller,basic+hierarchy,null,0.7272727272727273,0.650811952906494,0.6869024465384019
2k,data modeller,basic+hierarchy,null,0.9375,0.8369173971021026,0.8836992926778645
3k,machine,basic+hierarchy+enums,null,0.8846779860293554,0.8608796779089023,0.8724617700573948
2k,machine,basic+hierarchy,null,0.8555201738476312,0.7663090354690557,0.8083478726838579
1k,null,basic,null,0.7486178375540296,0.6521517666769812,0.6967940975272129
4k,null,basic+hierarchy,null,0.6875,0.6168679549114332,0.650271600746902
2k,data modeller,basic+hierarchy+enums,null,0.9680077891991168,0.9675519776876268,0.9677638168958479
4k,data modeller,basic+hierarchy+enums,zero-shot,0.875,0.866182860367202,0.8703941648492051
4k,machine,basic,null,0.7502903456068417,0.662910617858406,0.7034804249652816
4k,null,basic,zero-shot,0.5625,0.4959879333209213,0.5268551703652095
2k,null,basic,null,0.7517908895064067,0.6842435066154641,0.715662725408447
2k,null,basic+hierarchy+enums,zero-shot,0.7274444059636495,0.7287871158027084,0.7280987779411586
