reason,super_reasons,museum_id
low visitor numbers,falling visitor numbers,mm.misc.060
financial - funding cut - external funding cut,Funding cut external,mm.domus.SE387
low visitor numbers; loss of premises - change of use - space repurposed,too few visitors; repurposing of space,mm.aim82NM.133
loss of premises - redevelopment - redevelopment of site,redevelopment of site,mm.wiki.278
financial - funding cut - local authority funding cut,local authority funding cuts,mm.domus.SC236
financial - costs,costs,mm.wiki.044
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.101
strategic closure - replacement museum,collection acquired for new museum,mm.aim.0881
loss of premises - change of use,premises repurposed,mm.wiki.240
life events - owner moved house,owner relocated?,mm.New.213
life events - death - death of owner,death of owner,mm.hha.066
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WA012
loss of premises - change of use,premises repurposed,mm.ace.1270
building; building - condition of building - deterioration; collections - collection damaged - infestation,building problems; deterioration; moths,mm.domus.NW009
building - health and safety; financial - costs,health and safety; managing charity unable to pay bills,mm.domus.WA040
financial - costs - low revenue,insufficient revenue,mm.wiki.432
life events - retirement - retirement of owner,retirement of owner,mm.misc.095
building - unsuitable; low visitor numbers,unsuitable premises; too few visitors?,mm.domus.NE027
financial - costs - low revenue; financial - costs - unsustainable,insufficient revenue; unsustainable costs,mm.aim.1001
restructure of host organisation - relocation,relocation,mm.domus.SE453
loss of premises,loss of premises,mm.domus.SE457
strategic closure - amalgamation,amalgamation,mm.domus.SE222
restructure of host organisation - relocation,relocation,mm.New.87
loss of premises,loss of premises,mm.domus.NW036
low visitor numbers,low visitor numbers,mm.aim.0774
unknown,unknown,mm.domus.SC237
financial - costs - low revenue,insufficient revenue,mm.domus.SE471
financial - costs - unsustainable,financially unsustainable,mm.domus.SW043
building - building destroyed - fire,fire destroyed building,mm.domus.SE091
financial - costs - low revenue,insufficient revenue,mm.aim82NM.072
financial - insolvency,liquidation,mm.fcm.279
financial - costs - low revenue; financial - costs - low revenue; life events - illness,insufficient revenue; failed funding bid; illness,mm.wiki.109
strategic closure - replacement museum,replacement,mm.domus.NE065
loss of premises; loss of premises - sold,loss of premises; site sold,mm.misc.106
building - building destroyed - fire,fire,mm.fcm.207
other - unwanted by heritage organisations; loss of premises - sold,unwanted by heritage organisations; building sold,mm.wiki.291
financial - costs; life events - illness,increased costs; illness,mm.mald.159
loss of premises,loss of premises,mm.wiki.243
strategic closure - amalgamation,amalgamation,mm.domus.NE055
financial - funding cut - local authority funding cut,local authority funding cuts?,mm.domus.SE276
low visitor numbers; financial - funding cut - local authority funding cut,too few visitors; unsustainble for local authority,mm.wiki.461
other,change of offer,mm.misc.263
low visitor numbers; other,falling visitor numbers; new competitor museum,mm.domus.SC041
staff - disagreement; other,owner and trustees in dispute; preventing sale of objects,mm.aim.0754
loss of premises,loss of premises,mm.musa.136
life events - retirement - retirement of owner,owner(s) wanted to retire from museum work,mm.New.165
building - unsuitable; financial - costs,premises unsuitable; increased costs,mm.domus.SE561
loss of premises; loss of premises - sold,loss of premises; building sold,mm.fcm.062
loss of premises,loss of premises,mm.fcm.137
loss of premises - change of use,premises repurposed,mm.misc.070
staff - insufficient staff; staff - insufficient staff - no volunteers,insufficient staff; no volunteers,mm.domus.WA083
loss of premises - change of use; low visitor numbers,building repurposed; too few visitors,mm.domus.SE251
strategic closure - amalgamation,amalgamation,mm.New.83
loss of premises,loss of premises,mm.misc.215
unknown,unknown,mm.New.27
building; building - unsuitable - access; collections - collection damaged - infestation,building problems; access issues; infestation,mm.domus.SC024
financial - funding cut - local authority funding cut,local authority budget cuts,mm.domus.YH015
financial - costs - low revenue,insufficient revenue,mm.wiki.089
loss of premises - change of use; strategic closure - amalgamation,premises repurposed; amalgamation,mm.mgs.316
loss of premises - sold,building sold,mm.domus.SC231
financial - costs - low revenue; staff - insufficient staff - no volunteers,insufficient revenue; too few volunteers,mm.mgs.353
loss of premises,loss of premises,mm.wiki.038
loss of premises; loss of premises - sold,loss of premises; building sold,mm.MDN.032
life events - death - death of founder,founder's death,mm.domus.SE354
loss of premises - change of use - space repurposed,space repurposed,mm.aim82NM.100
financial - costs; strategic closure - seeking new premises,costs; seeking new premises,mm.domus.SE040
strategic closure - amalgamation,amalgamation,mm.domus.SE332
strategic closure - amalgamation; building - unsuitable - access,amalgamation; wanted improved access to collection,mm.aim.0486
loss of premises - legal - lease expired,lease expired,mm.aim.0528
loss of premises - legal - lease expired,lease expired,mm.misc.047
financial,financial constraints,mm.domus.NI035
building - unsuitable,unsuitable premises;,mm.domus.SE363
loss of premises - change of use,building repurposed,mm.aim.1136
life events - retirement - retirement of owner; loss of premises - change of use,retirement of owner; premises repurposed,mm.aim.0062
financial - costs; financial - costs - low revenue; building - unsuitable - facilities,increasing costs; insufficient revenue; lack of parking,mm.New.233
life events - retirement - retirement of owner,owner(s) wanted to retire from museum work?,mm.aim.0651
financial - costs - low revenue; loss of premises - legal - lease expired; financial - mismanagement,insufficient revenue; lease expiry; financial mismanagement?,mm.MDN.005
financial - costs,rent increase,mm.musa.204
financial - insolvency,deficit and liquidation,mm.domus.YH082
strategic closure - premises not required,premises not required,mm.domus.NI034
financial - costs - low revenue,insufficient revenue?,mm.musa.115
loss of premises - change of use,premises repurposed,mm.domus.SW066
low visitor numbers; financial - funding cut - local authority funding cut,too few visitors; local authority funding cuts,mm.domus.SE605
financial - costs - low revenue,insufficient revenue?,mm.New.58
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.386
loss of premises - change of use,premises repurposed,mm.ace.399
building - unsuitable; building - condition of building - deterioration,premises unsuitable; deterioration,mm.domus.SE456
life events - retirement - retirement of staff,staff retired from museum work,mm.musa.043
financial - funding cut - mod funding cut; strategic closure - amalgamation,mod funding cut; amalgamation,mm.domus.YH001
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.224
strategic closure - amalgamation,amalgamation,mm.domus.SC009
financial - funding cut - local authority funding cut,local authority funding cuts,mm.domus.WM047
building - condition of building - damp; other - collection not insured,damp; collection not insured,mm.misc.004
low visitor numbers; financial - costs,too few visitors; excessive costs,mm.wiki.158
financial - funding cut - local authority funding cut; low visitor numbers,local authority funding cuts? ; too few visitors,mm.domus.SE009
strategic closure - amalgamation,amalgamation,mm.domus.SC012
financial - costs,unaffordable,mm.aim.0150
strategic closure - amalgamation,amalgamation,mm.domus.SC010
loss of premises; financial - costs; dispute - unable to agree lease terms,loss of premises; rent increase; unable to agree lease terms,mm.aim.0456
dispute - disagreement,trustee disagreement,mm.domus.SW078
building,building problems,mm.musa.008
financial - funding cut - local authority funding cut,local authority funding cuts,mm.wiki.279
strategic closure - replacement museum,replacement museum,mm.domus.SC105
financial - insolvency,insolvency,mm.domus.NW190
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SC229
low visitor numbers; building - unsuitable; other,too few visitors; unsuitable premises; conservation issues,mm.wiki.434
building - unsuitable; building - condition of building - deterioration,unsuitable premises; building unstable,mm.wiki.293
loss of premises,loss of premises,mm.domus.SW108
strategic closure - replacement museum,replacement museum,mm.domus.EM054
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.047
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE489
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.NW122
low visitor numbers,too few visitors,mm.domus.NE007
financial - funding cut - local authority funding cut,local authority funding cut,mm.misc.214
staff - insufficient staff - museum service stretched,museum services stretched,mm.domus.SC026
low visitor numbers; loss of premises - change of use,too few visitors; premises repurposed,mm.wiki.499
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WA013
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WM044
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WM109
building - unsuitable - access; other - location no longer suitable; financial - funding cut - local authority funding cut,accessibility issues; location no longer suitable; local authority funding cut,mm.domus.SE311
strategic closure - replacement museum,replacement museum,mm.domus.YH117
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WM018
building - unsuitable - facilities,inadequate facilities,mm.domus.SC110
financial - costs - lease cost,increased cost of lease,mm.domus.SC319
building; building - condition of building - asbestos,building problems; asbestos concerns,mm.mgs.293
financial - funding cut - local authority funding cut,local authority funding cut,mm.aim.1169
low visitor numbers,reduced visitors,mm.mgs.380
strategic closure - amalgamation,amalgamation,mm.domus.NW015
low visitor numbers; financial - costs,falling visitor numbers; rising costs,mm.domus.SE190
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE299
low visitor numbers,too few visitors,mm.wiki.139
loss of premises - change of use,premises repurposed,mm.domus.SW092
building - building destroyed - fire,fire destroyed building,mm.domus.SE078
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WM012
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE014
loss of premises - sold,building sold,mm.aim82NM.051
restructure of host organisation - relocation; financial - funding cut - local authority funding cut,relocation; local authority funding cut,mm.domus.SE112
loss of premises - redevelopment - redevelopment of building,redevelopment of building,mm.domus.YH086
loss of premises - change of use,premises repurposed,mm.Mus70Cal.005
financial - funding cut - local authority funding cut,local authority funding cuts,mm.domus.WM048
strategic closure - replacement museum,replacement museum,mm.domus.SE107
strategic closure - replacement museum,replacement museum,mm.misc.086
strategic closure - replacement museum; strategic closure - amalgamation,replacement museum; amalgamation,mm.domus.NE015
strategic closure - replacement museum; strategic closure - amalgamation,replacement museum; amalgamation,mm.domus.NE018
financial - funding cut - local authority funding cut,local authority funding cuts,mm.domus.NW137
financial - funding cut - local authority funding cut,local authority funding cuts?,mm.domus.NE063
loss of premises - redevelopment,site redevelopment,mm.musa.224
financial - insolvency,insolvency,mm.fcm.172
restructure of host organisation - change in corporate priorities,change in corporate priorities,mm.fcm.114
loss of premises - redevelopment - redevelopment of building,redevelopment of building,mm.aim.0158
building - building maintenance issues,building maintenance issues,mm.wiki.273
financial - funding cut - local authority funding cut,local authority funding cut,mm.wiki.420
life events - death - death of owner,death of owner?,mm.aim.1166
restructure of host organisation - local authority reorganisation,local authority reorganisation,mm.domus.EM065
building - unsuitable - too small,seeking larger premises,mm.wiki.400
building - condition of building - deterioration; financial - costs - building costs,roof collapsed; museum went into administration due to repair costs,mm.domus.YH163
,site repurposed,mm.New.202
loss of premises - sold,site sold,mm.aim82NM.122
strategic closure - amalgamation,amalgamation,mm.domus.WA067
life events - illness; low visitor numbers,illness; falling visitor numbers,mm.wiki.092
other - reverted to private use,reverted to private use,mm.aim82M.051
strategic closure - replacement museum,replacement museum,mm.domus.NI004
life events - too much work; life events - death - death of owner,too much work for owners; unwanted by owner's descendants,mm.aim82NM.066
unknown,unknown,mm.domus.SC202
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.021
financial - costs - deficit; financial - funding cut - local authority funding cut,running a deficit; local authority council funding cut,mm.domus.SC299
financial - costs - unsustainable,unsustainable,mm.domus.WA088
restructure of host organisation - change in corporate priorities,change in corporate priorities,mm.aim82NM.104
restructure of host organisation - co-occupant leaves; financial - costs - low revenue,co-occupant leaves; low revenue,mm.domus.SE264
building - unsuitable; strategic closure,building unsuitable; closed pending relocation,mm.domus.SC007
financial - funding cut - host organisation funding cut,host organisation funding cut,mm.musa.021
life events - too much work,too much work for owners,mm.wiki.480
other,change of offer,mm.domus.WM131
financial - costs - insurance,rising insurance costs,mm.misc.051
low visitor numbers,falling visitor numbers,mm.aim.0484
low visitor numbers; financial - costs,falling visitor numbers; rising costs,mm.misc.213
collections - theft; life events - retirement - retirement of owner,thefts prompted closure; return of use as solely private home,mm.wiki.198
loss of premises - redevelopment - redevelopment of site,redevelopment of site,mm.MDN.034
building - unsuitable; financial - costs - building costs; strategic closure - amalgamation,unsuitable building; costly building;  amalgamation,mm.domus.SE193
life events - death - death of staff; financial - costs - unsustainable,death of taxidermist; reduced financial viability,mm.wiki.035
strategic closure - amalgamation,amalgamation,mm.domus.SE100
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.017
strategic closure - amalgamation,amalgamation,mm.domus.SW028
building - condition of building - deterioration,deterioration,mm.domus.NE044
life events - death - death of owner,death of owner?,mm.wiki.303
life events - retirement - retirement of owner; loss of premises - sold,owner(s) retiring from museum work; sale of premises,mm.aim.0936
life events - imprisonment of owner,owner jailed?,mm.New.172
financial - funding cut - ace funding cut,withdrawal of arts council funding,mm.wiki.167
financial - costs - low revenue,insufficient revenue,mm.wiki.102
life events - death - death of owner; life events - retirement - retirement of owner,death of owner; owner(s) retired from museum work,mm.aim82NM.027
financial - funding cut - local authority funding cut,local authority funding cuts,mm.misc.155
financial - costs - low revenue; loss of premises - change of use - space repurposed; low visitor numbers,low revenue; space repurposed; low visitors,mm.wiki.185
strategic closure - seeking new premises,seeking new premises,mm.domus.SW142
low visitor numbers; financial - costs,too few visitors; increasing costs,mm.aim82NM.079
life events - death - death of owner,death of owner,mm.aim82NM.077
loss of premises - change of use - space repurposed,repurposing of space,mm.domus.NW149
loss of premises - change of use,premises repurposed,mm.wiki.222
life events - too much work,too much work for owners,mm.aim82NM.045
loss of premises,loss of premises,mm.aim82NM.119
loss of premises,loss of premises?,mm.domus.SW192
strategic closure - replacement museum,replacement,mm.domus.SE185
financial - funding cut - local authority funding cut,local authority funding cut,mm.wiki.337
loss of premises - change of use - space repurposed; financial - funding cut,repurposed space; reallocation of financial resources,mm.Mus70Cal.010
life events - too much work,too much work for owners,mm.misc.030
loss of premises - sold,sale of premises,mm.aim.0129
building - unsuitable; staff - insufficient staff,unsuitable building; lack of staff,mm.aim82NM.028
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.misc.211
loss of premises,loss of premises,mm.aim.0127
loss of premises - change of use,refurbishment of museum,mm.domus.SE216
building - building destroyed - fire; destruction - building destroyed - arson,fire destroyed building; arson,mm.domus.SE467
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.aim.1194
life events - retirement - retirement of owner,owner(s) retired from museum work?,mm.wiki.049
financial - costs - low revenue; loss of premises - change of use,insufficient revenue; premises repurposed,mm.New.203
low visitor numbers,falling visitor numbers;,mm.domus.SW147
financial - recession,recession?,mm.aim82M.066
life events - illness; loss of premises - sold,illness; sale of premises,mm.wiki.090
life events - illness; life events - owner moved house,illness; owners moved,mm.wiki.149
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.091
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE268
restructure of host organisation - relocation; strategic closure - replacement museum,relocation; replacement museum,mm.aim.0126
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.336
restructure of host organisation - relocation; strategic closure - replacement museum,relocation; replacement museum,mm.domus.SE279
restructure of host organisation - change in corporate priorities,corporate priorities changed,mm.misc.072
low visitor numbers; restructure of host organisation - relocation,too few visitors; relocation of host institution,mm.domus.SE109
financial - costs - low revenue,insufficient revenue,mm.wiki.119
life events - illness; life events - retirement - retirement of owner,illness; retirement from museum work,mm.musa.001
loss of premises - change of use - space repurposed,repurposed space,mm.aim82M.068
financial - recession; life events - too much work; other,recession; too much work; other problems,mm.wiki.394
loss of premises,loss of premises,mm.hud.007
loss of premises,loss of premises,mm.domus.NE022
strategic closure - amalgamation,amalgamation,mm.domus.SC297
loss of premises - legal - lease expired,lease expired,mm.misc.046
